iter	Passed	Remaining
336	2167923	10698089
337	2175569	10697624
338	2182754	10694855
339	2189782	10691290
340	2197121	10689219
341	2204146	10685600
342	2211110	10681661
343	2218340	10678985
344	2225416	10675550
345	2232474	10672001
346	2239826	10669835
347	2247211	10667796
348	2254208	10663892
349	2261147	10659696
350	2268166	10655859
351	2275515	10653548
352	2282776	10650800
353	2289912	10647447
354	2296873	10643258
355	2303608	10638010
356	2310548	10633701
357	2317815	10630874
358	2325172	10628436
359	2332425	10625496
360	2339634	10622330
361	2346680	10618406
362	2353672	10614221
363	2360761	10610455
364	2368069	10607654
365	2374887	10602641
366	2381783	10597961
367	2389155	10595384
368	2396250	10591557
369	2403800	10589717
370	2411336	10587783
371	2418394	10583726
372	2425407	10579459
373	2432589	10575911
374	2439803	10572481
375	2446957	10568774
376	2454672	10567461
377	2462084	10564818
378	2469270	10561182
379	2476515	10557775
380	2483871	10554825
381	2490980	10550800
382	2498206	10547257
383	2505549	10544187
384	2512929	10541250
385	2520081	10537337
386	2527233	10533403
387	2534355	10529334
388	2541934	10527137
389	2549215	10523685
390	2558951	10530314
391	2565191	10522521
392	2571002	10512980
393	2576703	10503008
394	2582471	10493334
395	2587946	10482490
396	2593806	10473228
397	2599326	10462615
398	2604800	10451843
399	2610805	10443221
400	2616187	10432130
401	2621579	10421104
402	2626938	10409976
403	2632285	10398832
404	2637620	10387664
405	2642896	10376299
406	2648411	10365894
407	2653629	10354359
408	2658917	10343125
409	2664127	10331614
410	2669892	10322284
411	2675329	10311705
412	2680577	10300428
413	2685889	10289421
414	2691109	10278092
415	2696367	10266936
416	2701761	10256325
417	2707017	10245220
418	2712422	10234700
419	2717603	10223365
420	2722800	10212119
421	2728132	10201406
422	2733368	10190358
423	2738674	10179601
424	2743865	10168441
425	2749091	10157441
426	2754297	10146394
427	2759430	10135104
428	2764634	10124103
429	2769852	10113183
430	2775013	10102079
431	2780169	10090986
432	2785297	10079819
433	2790501	10068954
434	2795709	10058128
435	2800948	10047439
436	2806171	10036720
437	2811346	10025850
438	2816496	10014923
439	2821703	10004221
440	2826890	9993474
441	2832100	9982833
442	2837290	9972147
443	2842560	9961766
444	2847734	9951073
445	2852934	9940493
446	2858127	9929915
447	2863300	9919291
448	2868455	9908629
449	2873640	9898095
450	2878799	9887495
451	2884126	9877494
452	2889408	9867363
453	2894631	9857049
454	2899813	9846621
455	2905024	9836309
456	2910201	9825910
457	2915378	9815531
458	2920536	9805112
459	2925746	9794890
460	2930914	9784551
461	2936045	9774108
462	2941266	9763989
463	2946441	9753737
464	2951612	9743493
465	2956786	9733283
466	2961963	9723104
467	2967184	9713089
468	2972326	9702839
469	2977459	9692580
470	2982699	9682690
471	2987869	9672594
472	2993006	9662411
473	2998195	9652419
474	3003327	9642261
475	3008432	9632040
476	3013530	9621816
477	3018657	9611707
478	3023783	9601617
479	3028900	9591518
480	3033983	9581332
481	3039091	9571246
482	3044277	9561426
483	3049441	9551557
484	3054605	9541707
485	3059721	9531724
486	3064915	9522007
487	3069991	9511939
488	3075117	9502048
489	3080284	9492306
490	3085389	9482388
491	3090517	9472561
492	3095690	9462892
493	3100788	9453011
494	3105889	9443158
495	3111029	9433443
496	3116134	9423642
497	3121278	9413975
498	3126479	9404499
499	3131625	9394875
500	3136778	9385290
501	3141955	9375796
502	3147068	9366126
503	3152222	9356597
504	3157300	9346861
505	3162435	9337308
506	3167576	9327794
507	3172661	9318131
508	3177772	9308563
509	3182928	9299142
510	3187941	9289323
511	3192918	9279419
512	3197978	9269773
513	3202987	9259999
514	3208009	9250280
515	3213057	9240653
516	3218047	9230878
517	3223079	9221241
518	3228008	9211332
519	3233000	9201616
520	3238012	9191978
521	3243025	9182359
522	3248011	9172681
523	3252975	9162960
524	3257959	9153314
525	3262994	9143829
526	3268003	9134287
527	3273042	9124844
528	3278041	9115308
529	3283061	9105850
530	3288057	9096340
531	3293106	9086991
532	3298115	9077552
533	3303117	9068108
534	3308110	9058658
535	3313088	9049181
536	3318141	9039928
537	3323134	9030525
538	3328192	9021315
539	3333243	9012104
540	3338237	9002751
541	3343264	8993503
542	3348317	8984343
543	3353375	8975209
544	3358471	8966195
545	3363627	8957353
546	3368833	8948655
547	3373842	8939450
548	3378786	8930090
549	3383843	8921042
550	3388896	8911997
551	3393947	8902963
552	3398914	8893723
553	3403917	8884592
554	3409016	8875727
555	3414041	8866684
556	3419048	8857607
557	3424136	8848753
558	3429154	8839733
559	3434157	8830690
560	3439156	8821651
561	3444215	8812780
562	3449238	8803827
563	3454313	8795024
564	3459358	8786158
565	3464389	8777268
566	3469419	8768390
567	3474529	8759729
568	3479527	8750797
569	3484585	8742029
570	3489673	8733351
571	3494752	8724662
572	3499998	8716401
573	3505118	8707838
574	3510246	8699306
575	3515524	8691157
576	3520798	8683010
577	3526008	8674713
578	3531216	8666423
579	3536465	8658243
