iter	Accuracy	MultiClass
278	0.8283535442	0.7465491532
279	0.8296037005	0.7453117749
280	0.8297287161	0.7444069589
281	0.8306038255	0.7432325272
282	0.8313539192	0.7418477535
283	0.832104013	0.7405856994
284	0.8319789974	0.7393384975
285	0.8319789974	0.7383834288
286	0.833104138	0.7375797767
287	0.833104138	0.7361043671
288	0.8336042005	0.735136438
289	0.8337292162	0.7341449287
290	0.8344793099	0.732898177
291	0.8346043255	0.7315401718
292	0.835104388	0.7302811486
293	0.8353544193	0.729292144
294	0.8354794349	0.7281930505
295	0.8353544193	0.7269286179
296	0.8366045756	0.7255645669
297	0.8366045756	0.7246476946
298	0.8369796225	0.7234819033
299	0.8366045756	0.7224767824
300	0.8366045756	0.722035635
301	0.8368546068	0.7214016948
302	0.8369796225	0.7206352097
303	0.837479685	0.7197399718
304	0.8373546693	0.718985163
305	0.8376047006	0.7178026175
306	0.8377297162	0.7172315945
307	0.8381047631	0.715714688
308	0.83847981	0.714273787
309	0.83847981	0.7130123418
310	0.8396049506	0.7114909688
311	0.8399799975	0.7105066692
312	0.8402300288	0.7099295242
313	0.8408551069	0.7083185552
314	0.8407300913	0.707318573
315	0.8409801225	0.7064904307
316	0.8418552319	0.7056163947
317	0.8427303413	0.7045896566
318	0.84248031	0.7035085902
319	0.8432304038	0.7030759004
320	0.8431053882	0.7018226017
321	0.8436054507	0.7007708716
322	0.8437304663	0.6996081599
323	0.8447305913	0.6981741269
324	0.8449806226	0.6970477307
325	0.8461057632	0.6960845834
326	0.8467308414	0.69489527
327	0.8461057632	0.6936904294
328	0.8462307788	0.6928840466
329	0.8461057632	0.6924458592
330	0.846855857	0.6915126362
331	0.8474809351	0.690186084
332	0.8481060133	0.6891332871
333	0.8486060758	0.6885780227
334	0.8487310914	0.6876284645
335	0.8494811851	0.6868201301
336	0.8494811851	0.6857373264
337	0.8494811851	0.6846779053
338	0.8502312789	0.6833643129
339	0.8507313414	0.6820688876
340	0.8511063883	0.6810472144
341	0.8513564196	0.6804347021
342	0.8511063883	0.679399069
343	0.8522315289	0.678279609
344	0.8517314664	0.6778346748
345	0.8522315289	0.6759915834
346	0.8536067008	0.6747693474
347	0.8541067633	0.6738988457
348	0.854231779	0.6730552144
349	0.8543567946	0.6720313844
350	0.8549818727	0.6703817368
351	0.8546068259	0.6696958646
352	0.8548568571	0.6687902085
353	0.8553569196	0.6682157605
354	0.855231904	0.6669033927
355	0.856232029	0.666197169
356	0.8561070134	0.665030046
357	0.8563570446	0.6643244068
358	0.8557319665	0.6639894195
359	0.8558569821	0.663145587
360	0.8568571071	0.662436347
361	0.8568571071	0.6618190544
362	0.8568571071	0.6610053218
363	0.8577322165	0.6596817988
364	0.8578572322	0.6590118256
365	0.8579822478	0.6581895376
366	0.8578572322	0.657268698
367	0.8583572947	0.6561999185
368	0.8588573572	0.6550147325
369	0.8591073884	0.654627345
370	0.8597324666	0.6536419427
371	0.8604825603	0.6524312069
372	0.8613576697	0.6513651397
373	0.8614826853	0.6507377147
374	0.8622327791	0.6505787557
375	0.8619827478	0.6500436087
376	0.8622327791	0.6494857002
377	0.8628578572	0.6485255454
378	0.862607826	0.647743118
379	0.8629828729	0.6472446544
380	0.8629828729	0.6467208908
381	0.8627328416	0.6461609996
382	0.8631078885	0.6455514931
383	0.8633579197	0.6446777157
384	0.8633579197	0.6441310174
385	0.8633579197	0.6434134729
386	0.8632329041	0.6427302314
387	0.8639829979	0.6413151823
388	0.8648581073	0.640620008
389	0.8651081385	0.6399239346
390	0.8654831854	0.6394165101
391	0.8653581698	0.6390108224
392	0.8652331541	0.6384312515
393	0.8657332167	0.6376358432
394	0.8661082635	0.6369608415
395	0.8662332792	0.6362714771
396	0.8671083885	0.6355097739
397	0.8671083885	0.6343525114
398	0.8672334042	0.6339223521
399	0.8672334042	0.633234194
400	0.8674834354	0.6325463142
401	0.8679834979	0.6313287354
402	0.8687335917	0.6308335265
403	0.868983623	0.630115157
404	0.8688586073	0.6294038289
405	0.8687335917	0.6287500475
406	0.8692336542	0.6279259652
407	0.8693586698	0.6269674557
408	0.8697337167	0.6264397261
409	0.8704838105	0.6254169031
410	0.8703587948	0.6246984265
411	0.8707338417	0.6237304377
412	0.8706088261	0.6229988995
413	0.8712339042	0.6223736711
414	0.8713589199	0.6218022324
415	0.8724840605	0.6212054666
416	0.8723590449	0.6209181981
417	0.8724840605	0.6202592646
418	0.8723590449	0.6196872166
419	0.8728591074	0.618821817
420	0.8731091386	0.6180109657
421	0.8733591699	0.6172194906
422	0.8733591699	0.6162418452
423	0.8738592324	0.6157259251
424	0.8743592949	0.6151783765
425	0.8747343418	0.614407689
426	0.8743592949	0.6132620629
427	0.8746093262	0.6126271087
428	0.8747343418	0.6121606747
429	0.8742342793	0.6116306192
430	0.8746093262	0.6111844479
431	0.8747343418	0.6106111636
432	0.8753594199	0.6093466461
433	0.874984373	0.6089439865
434	0.8751093887	0.6085868125
435	0.8753594199	0.6079745058
436	0.8748593574	0.6072206783
437	0.8756094512	0.6066843067
438	0.8756094512	0.606222321
439	0.8754844356	0.6057901928
440	0.8758594824	0.605103957
441	0.8759844981	0.6043349726
442	0.8764845606	0.6035501469
443	0.8764845606	0.6027947874
444	0.8763595449	0.6020802477
445	0.8764845606	0.6010014025
446	0.8767345918	0.6005233019
447	0.8771096387	0.5993850358
448	0.8776097012	0.5987033309
449	0.8781097637	0.5978176167
450	0.8778597325	0.5971387669
451	0.878359795	0.5964324875
452	0.8787348419	0.5957729508
453	0.8791098887	0.5950711676
454	0.8791098887	0.5945900277
455	0.8792349044	0.5942263435
456	0.8792349044	0.5936404144
457	0.87935992	0.592998523
458	0.8801100138	0.5923378085
459	0.8799849981	0.5918913421
460	0.8801100138	0.5913989528
461	0.8802350294	0.5909318913
462	0.8806100763	0.590116976
463	0.8808601075	0.5895306838
464	0.88136017	0.5890765113
465	0.88136017	0.5885859359
466	0.8816102013	0.5882480477
467	0.8824853107	0.5879138292
468	0.882360295	0.5873997831
469	0.8829853732	0.5868610043
470	0.8832354044	0.5865927613
471	0.8834854357	0.5860262161
472	0.8832354044	0.5853272254
473	0.8839854982	0.5848812383
474	0.8841105138	0.5843983551
475	0.8843605451	0.583900887
476	0.8841105138	0.5832300405
477	0.8841105138	0.5826441
478	0.8846105763	0.5820879132
479	0.8846105763	0.5814562392
480	0.8848606076	0.5808792363
481	0.8854856857	0.5804524449
482	0.8859857482	0.5795399179
483	0.8859857482	0.578943536
484	0.8862357795	0.5786401391
485	0.886735842	0.5779803312
486	0.8864858107	0.5776472242
487	0.8863607951	0.5772162563
488	0.886735842	0.5768023974
489	0.886735842	0.5764290585
490	0.8876109514	0.5757008525
491	0.8878609826	0.5751636934
492	0.8881110139	0.5745999814
493	0.887735967	0.5742509183
494	0.8882360295	0.5732079314
495	0.888736092	0.5724531139
496	0.8884860608	0.5722042664
497	0.8884860608	0.5717525211
498	0.888736092	0.5712952667
499	0.8893611701	0.5705715968
500	0.8891111389	0.5700145544
501	0.889736217	0.5691820813
502	0.889736217	0.5683908319
503	0.8902362795	0.5680218286
504	0.8906113264	0.5674360471
505	0.890736342	0.5669225314
506	0.8911113889	0.5662580912
507	0.8911113889	0.5656280289
508	0.8912364046	0.5651177614
509	0.8916114514	0.5644827384
510	0.8916114514	0.5642784242
511	0.8921115139	0.5637733831
512	0.8922365296	0.5629017983
513	0.8921115139	0.5623958538
514	0.8924865608	0.5618338322
515	0.8923615452	0.5614141133
516	0.8927365921	0.5607335541
517	0.8928616077	0.5603241097
518	0.893111639	0.5595106224
519	0.8929866233	0.5590010231
520	0.893111639	0.558345758
521	0.893111639	0.5578590412
522	0.8932366546	0.5576359418
523	0.8936117015	0.5571117226
524	0.8939867483	0.5564402216
525	0.894111764	0.5559279191
526	0.8946118265	0.5553171052
527	0.8944868109	0.554801466
528	0.895111889	0.5541518609
529	0.8953619202	0.5536585851
530	0.8952369046	0.5532562566
531	0.895111889	0.5530566687
532	0.8956119515	0.5524748242
533	0.8956119515	0.5522793976
534	0.8958619827	0.5515260332
535	0.8958619827	0.5509990819
536	0.8964870609	0.5505532147
537	0.896112014	0.5502760957
538	0.896112014	0.5500580641
539	0.8958619827	0.549817661
540	0.896112014	0.549172239
541	0.8963620453	0.5488033069
542	0.8964870609	0.5479046898
543	0.8964870609	0.5476828663
544	0.8966120765	0.5473853205
545	0.8966120765	0.5468099845
546	0.8966120765	0.5464422834
547	0.8966120765	0.5460716727
548	0.8967370921	0.5457086948
549	0.8968621078	0.5453041906
550	0.8973621703	0.544710391
551	0.8974871859	0.5442116797
552	0.8978622328	0.5435816753
553	0.8977372172	0.543094256
554	0.8983622953	0.5426974392
555	0.8982372797	0.5422143734
556	0.8983622953	0.5417584332
557	0.8986123265	0.5410671446
558	0.8986123265	0.5407260644
559	0.8987373422	0.5400663842
560	0.8994874359	0.5395859966
561	0.8992374047	0.5389171856
562	0.8993624203	0.5387125149
563	0.8996124516	0.5382267894
564	0.8997374672	0.5380054681
565	0.8999874984	0.5375615796
566	0.9006125766	0.5372520449
567	0.9007375922	0.5370171038
568	0.9008626078	0.5364497974
569	0.9011126391	0.5361065436
570	0.9012376547	0.5358384925
571	0.9008626078	0.5355906302
572	0.9009876235	0.5354100585
573	0.9012376547	0.5351114653
574	0.9013626703	0.5348598205
575	0.9017377172	0.5343542097
576	0.9019877485	0.5339398329
577	0.9026128266	0.5335588285
578	0.9026128266	0.5330186566
579	0.9031128891	0.5327013224
