exp_id,exp_name,model_family,model_name,dataset,n_samples,split_train,split_val,split_test,stage1_best_val_acc,stage1_test_acc,stage2_best_val_acc,stage2_test_acc,notes,logged_at_utc,augmentations,baseline_catboost_test_acc,baseline_logreg_test_acc,batch_size,best_val_acc,epochs,lr,random_state,stage1_gap_train_test_pp,stage1_gap_train_val_pp,stage1_test_loss,stage1_train_acc,stage1_train_loss,stage1_val_acc,stage1_val_loss,stage2_gap_train_test_pp,stage2_gap_train_val_pp,stage2_test_loss,stage2_train_acc,stage2_train_loss,stage2_val_acc,stage2_val_loss,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss,weight_decay
exp01,10k_80-10-10_noaug_baseline,Transfer learning + deep-feature baselines,ResNet50 backbone + custom head,CIFAR-10 (train subset),10000,0.8,0.1,0.1,0.6073926091194153,0.6029999852180481,0.6073926091194153,0.6060000061988831,,2026-05-27T11:42:07+00:00,,0.588,nan,,,,,42,,,1.5452373027801514,0.9869983792304993,0.07465305924415588,0.6073926091194153,1.502514362335205,,,1.4418357610702515,0.980997622013092,0.10411086678504944,0.6073926091194153,1.4254565238952637,,,,,,,
exp02,10k_80-10-10_aug,Transfer learning + deep-feature baselines,ResNet50 backbone + custom head,CIFAR-10 (train subset),10000,0.8,0.1,0.1,0.602397620677948,0.5910000205039978,0.5964035987854004,0.5879999995231628,,2026-05-27T11:59:24+00:00,,nan,nan,,,,,42,13.984131813049316,12.844371795654297,1.1985371112823486,0.730841338634491,0.7926231026649475,0.602397620677948,1.1344585418701172,14.271634817123413,13.431274890899658,1.1989370584487915,0.730716347694397,0.7841234803199768,0.5964035987854004,1.1100343465805054,,,,,,,
exp03,20k_80-10-10_noaug,Transfer learning + deep-feature baselines,ResNet50 backbone + custom head,CIFAR-10 (train subset),20000,0.8,0.1,0.1,0.6283716559410095,0.6060000061988831,0.6273726224899292,0.6060000061988831,,2026-05-27T12:10:24+00:00,,nan,nan,,,,,42,36.39962673187256,34.16246175765991,1.4570196866989136,0.9699962735176086,0.13423816859722137,0.6283716559410095,1.3934730291366577,35.887062549591064,33.74980092048645,1.3672738075256348,0.9648706316947937,0.16407252848148346,0.6273726224899292,1.3014353513717651,,,,,,,
exp04,20k_80-10-10_aug,Transfer learning + deep-feature baselines,ResNet50 backbone + custom head,CIFAR-10 (train subset),20000,0.8,0.1,0.1,0.5974025726318359,0.5600000023841858,0.602397620677948,0.5759999752044678,,2026-05-27T12:34:56+00:00,,nan,nan,,,,,42,12.046003341674805,8.30574631690979,1.2271052598953247,0.6804600358009338,0.9184187650680542,0.5974025726318359,1.176388144493103,11.521142721176147,8.881378173828125,1.201246976852417,0.6912114024162292,0.8996499180793762,0.602397620677948,1.1672415733337402,,,,,,,
exp05,20k_80-10-10_noaug_logreg_features,Transfer learning + deep-feature baselines,ResNet50 backbone + custom head,CIFAR-10 (train subset),20000,0.8,0.1,0.1,0.6486756801605225,0.6330000162124634,0.6556721925735474,0.640500009059906,,2026-05-27T13:50:00+00:00,,nan,nan,,,,,42,25.043022632598877,23.47545623779297,1.1699790954589844,0.8834302425384521,0.3697781264781952,0.6486756801605225,1.166638970375061,33.868616819381714,32.35139846801758,1.2257643938064575,0.9791861772537231,0.12266609817743301,0.6556721925735474,1.23391854763031,,,,,,,
exp06,20k_80-10-10_noaug_logreg_features,Transfer learning + deep-feature baselines,ResNet50 backbone + custom head,CIFAR-10 (train subset),20000,0.8,0.1,0.1,0.6466766595840454,0.6384999752044678,0.6446776390075684,0.6340000033378601,,2026-05-27T15:37:35+00:00,,0.637,0.55,,,,,42,26.286888122558594,25.46921968460083,1.222952127456665,0.9013688564300537,0.30507391691207886,0.6466766595840454,1.224092721939087,27.14940905570984,26.081645488739014,1.1795917749404907,0.9054940938949585,0.30977576971054077,0.6446776390075684,1.2046350240707397,,,,,,,
exp07,50k_80-10-10_aug_head_then_ft,Transfer learning + deep-feature baselines,ResNet50 backbone + custom head,CIFAR-10 (train subset),50000,0.8,0.1,0.1,0.611388623714447,0.5759999752044678,0.6083915829658508,0.5929999947547913,,2026-05-27T18:10:28+00:00,,nan,0.554,,,,,42,11.283612251281738,7.7447474002838135,1.216352105140686,0.6888360977172852,0.8861888647079468,0.611388623714447,1.137583613395691,9.8086416721344,8.269482851028442,1.1973997354507446,0.6910864114761353,0.8816938996315002,0.6083915829658508,1.1128052473068237,,,,,,,
exp09,50k_resnet18_mixup,Scratch CNN + modern aug,ResNet18 (scratch),CIFAR-10 (train full),50000,0.8,0.1,0.1,,,,,,2026-05-28T06:21:36+00:00,"flip_crop,mixup(a=0.2)",,,50,0.9355999827384949,50,0.001,42,,,,,,,,,,,,,,,0.932200014591217,0.35239529609680176,0.9525250196456909,0.5694056749343872,0.9355999827384949,0.36192548274993896,0.0001
